,LicenseNo,Inspection_Results
9558,16127,1
9559,19044,3
9560,5019,3
9561,17566,1
9562,10785,3
9563,6033,1
9564,33542,1
9565,28022,1
9566,36212,3
9567,36836,1
9568,12503,1
9569,4608,1
9570,13108,1
9571,4395,1
9572,5437,1
9573,27896,3
9574,20296,3
9575,5393,1
9576,33906,2
9577,18058,2
9578,8622,1
9579,2455,1
9580,1269,4
9581,35226,1
9582,19672,1
9583,26530,1
9584,5234,1
9585,35290,4
9586,13486,1
9587,13598,3
9588,19141,3
9589,22733,1
9590,25397,1
9591,35471,1
9592,18267,1
9593,32056,6
9594,13811,1
9595,11859,1
9596,17694,1
9597,10215,1
9598,24753,1
9599,19970,1
9600,27393,2
9601,28280,3
9602,7374,1
9603,2388,2
9604,33993,1
9605,1772,1
9606,37024,1
9607,17017,1
9608,25275,1
9609,15412,3
9610,2963,1
9611,11046,1
9612,2973,1
9613,16052,1
9614,6838,1
9615,35687,2
9616,15992,1
9617,18117,3
9618,10623,1
9619,9562,4
9620,639,4
9621,20048,1
9622,19754,1
9623,22578,1
9624,2458,1
9625,28427,3
9626,19848,1
9627,18406,1
9628,10964,3
9629,3355,2
9630,29175,1
9631,16362,1
9632,1822,3
9633,29668,1
9634,12276,4
9635,30568,1
9636,95,1
9637,23599,1
9638,18250,1
9639,36307,4
9640,7484,1
9641,2505,4
9642,16240,2
9643,7939,1
9644,22078,1
9645,29317,3
9646,19238,1
9647,6781,1
9648,22025,1
9649,14090,1
9650,20716,1
9651,13888,1
9652,11009,1
9653,25716,1
9654,33835,1
9655,22581,1
9656,17987,1
9657,25587,1
9658,25359,1
9659,23447,2
9660,23049,4
9661,22561,4
9662,34093,1
9663,26275,1
9664,26382,3
9665,30985,3
9666,786,1
9667,7409,1
9668,36098,2
9669,14205,1
9670,26248,1
9671,5433,1
9672,36729,1
9673,19501,1
9674,13350,1
9675,24203,2
9676,17694,1
9677,18936,1
9678,18067,1
9679,13713,3
9680,13462,1
9681,11434,1
9682,468,1
9683,36029,1
9684,21760,2
9685,16941,1
9686,29732,2
9687,14747,1
9688,24111,2
9689,9240,1
9690,15793,3
9691,19439,2
9692,29644,1
9693,35936,1
9694,9908,2
9695,11905,3
9696,17248,1
9697,3055,1
9698,5180,1
9699,27508,3
9700,5763,2
9701,4641,1
9702,35544,2
9703,32589,6
9704,15908,1
9705,4733,3
9706,16989,1
9707,5965,3
9708,10996,1
9709,24471,1
9710,24447,2
9711,12335,1
9712,10556,1
9713,35170,1
9714,34200,1
9715,23009,3
9716,4061,1
9717,13370,1
9718,18889,1
9719,34225,1
9720,30056,2
9721,23495,1
9722,25852,2
9723,32239,1
9724,35278,2
9725,24767,1
9726,2431,2
9727,35692,1
9728,21320,4
9729,22512,1
9730,33639,1
9731,22014,2
9732,18482,2
9733,8009,1
9734,17615,2
9735,18671,2
9736,23797,1
9737,6943,1
9738,2398,1
9739,16523,4
9740,18968,2
9741,19144,1
9742,22563,1
9743,21774,2
9744,13919,1
9745,24780,1
9746,6049,1
9747,12898,1
9748,938,2
9749,33581,2
9750,35113,1
9751,2999,2
9752,10634,1
9753,18770,1
9754,31315,1
9755,17397,1
9756,34543,3
9757,28004,1
9758,26329,3
9759,10255,1
9760,5711,1
9761,17985,3
9762,11188,3
9763,18526,3
9764,30307,3
9765,14230,1
9766,19000,1
9767,11462,1
9768,12130,1
9769,24489,1
9770,476,1
9771,15616,1
9772,7048,1
9773,1768,3
9774,21157,1
9775,6801,1
9776,4344,1
9777,31841,1
9778,8058,1
9779,21145,1
9780,18255,2
9781,15682,3
9782,9651,1
9783,23561,1
9784,6152,4
9785,18514,1
9786,6360,1
9787,20024,1
9788,27556,1
9789,29544,2
9790,12927,1
9791,90,2
9792,29844,3
9793,17313,1
9794,924,1
9795,28005,1
9796,8195,1
9797,32844,1
9798,35347,1
9799,13834,2
9800,25652,1
9801,10170,1
9802,36675,3
9803,16630,1
9804,4658,1
9805,2706,4
9806,18068,1
9807,3241,2
9808,2304,1
9809,19958,3
9810,18893,3
9811,8455,4
9812,12444,1
9813,36317,1
9814,2205,1
9815,7661,3
9816,34270,1
9817,23952,1
9818,21151,2
9819,22487,1
9820,35350,1
9821,34862,2
9822,34857,1
9823,6462,2
9824,19295,1
9825,33444,3
9826,6874,1
9827,6161,4
9828,13873,4
9829,21528,3
9830,10211,1
9831,5858,1
9832,37095,3
9833,26720,1
9834,35276,4
9835,34755,1
9836,4878,3
9837,15706,4
9838,34740,3
9839,19698,4
9840,1308,4
9841,11687,1
9842,34969,1
9843,11501,1
9844,35527,1
9845,13994,1
9846,18390,1
9847,31225,3
9848,25202,1
9849,35666,1
9850,116,1
9851,28148,3
9852,4528,1
9853,9213,2
9854,10004,1
9855,10984,3
9856,5879,4
9857,35576,1
9858,19004,1
9859,3893,1
9860,35894,4
9861,26866,2
9862,34138,2
9863,4948,1
9864,16080,1
9865,26156,2
9866,3295,1
9867,20901,1
9868,13595,4
9869,35880,1
9870,18129,5
9871,8613,1
9872,9733,4
9873,8165,3
9874,26841,3
9875,35190,4
9876,34670,1
9877,34587,1
9878,5177,1
9879,20131,1
9880,27192,3
9881,14685,1
9882,3428,4
9883,37284,1
9884,2051,3
9885,22855,1
9886,35731,1
9887,22086,1
9888,19891,1
9889,21235,1
9890,11705,1
9891,15829,1
9892,16592,1
9893,13381,1
9894,37285,3
9895,34091,1
9896,29416,1
9897,26999,1
9898,5373,1
9899,2505,1
9900,21867,1
9901,20272,1
9902,25112,1
9903,22839,1
9904,17133,4
9905,10691,4
9906,36924,1
9907,21141,1
9908,547,3
9909,15844,2
9910,9213,4
9911,21314,1
9912,2945,1
9913,31769,1
9914,23983,1
9915,6636,1
9916,749,1
9917,36363,1
9918,25246,1
9919,14525,4
9920,22156,3
9921,36851,1
9922,27135,1
9923,27229,1
9924,35831,3
9925,8556,1
9926,19495,3
9927,14496,1
9928,36563,3
9929,28225,3
9930,22098,1
9931,198,4
9932,36522,1
9933,34890,1
9934,35876,1
9935,8352,3
9936,28140,1
9937,10748,2
9938,1498,1
9939,10833,1
9940,6509,1
9941,5523,3
9942,2705,1
9943,14227,3
9944,8599,3
9945,16852,2
9946,6764,3
9947,19543,4
9948,15402,1
9949,11878,2
9950,12890,1
9951,23166,1
9952,35609,1
9953,7006,1
9954,34521,3
9955,32639,1
9956,35518,1
9957,9338,1
9958,37218,3
9959,30288,3
9960,5046,1
9961,10357,3
9962,1604,1
9963,12447,1
9964,29765,1
9965,19576,1
9966,19230,2
9967,17843,2
9968,16448,1
9969,2317,1
9970,3047,1
9971,6986,1
9972,23302,3
9973,13363,1
9974,7273,1
9975,19108,1
9976,6500,1
9977,33248,1
9978,19727,2
9979,28224,1
9980,16882,1
9981,17213,1
9982,12557,4
9983,14047,2
9984,37018,1
9985,16030,1
9986,30276,1
9987,331,2
9988,35413,1
9989,19619,3
9990,36791,3
9991,12202,1
9992,33278,1
9993,25829,1
9994,15284,4
9995,18308,1
9996,30626,1
9997,15211,3
9998,34540,1
9999,6099,4
10000,15642,1
10001,9288,1
10002,1317,1
10003,13051,3
10004,35463,1
10005,6930,4
10006,2787,3
10007,18627,2
10008,15321,3
10009,5287,1
10010,37289,1
10011,4370,1
10012,24497,3
10013,22687,1
10014,6968,1
10015,14659,2
10016,24867,3
10017,3666,1
10018,10010,2
10019,25066,1
10020,23555,1
10021,11729,1
10022,27247,2
10023,4962,3
10024,20422,2
10025,34841,1
10026,2856,1
10027,8584,1
10028,34201,1
10029,13825,1
10030,24283,1
10031,8794,1
10032,11681,4
10033,16189,1
10034,18089,3
10035,32373,3
10036,24652,1
10037,35286,1
10038,10793,1
10039,35947,2
10040,9976,3
10041,13772,3
10042,9947,3
10043,16716,3
10044,20690,1
10045,7232,4
10046,32037,3
10047,4116,1
10048,29070,2
10049,10959,1
10050,21240,3
10051,36377,1
10052,453,3
10053,601,2
10054,37129,1
10055,25871,1
10056,21758,1
10057,34982,1
10058,35357,1
10059,24475,3
10060,19203,1
10061,24768,2
10062,34764,1
10063,17337,1
10064,2357,1
10065,13358,2
10066,2478,1
10067,9243,3
10068,18807,1
10069,16498,1
10070,29578,1
10071,10892,1
10072,22178,1
10073,17576,2
10074,4984,2
10075,34510,3
10076,31365,2
10077,29585,1
10078,23044,4
10079,986,1
10080,27636,2
10081,13574,2
10082,24141,3
10083,16549,2
10084,22516,1
10085,11431,3
10086,19478,1
10087,15685,1
10088,28039,3
10089,24167,1
10090,21476,3
10091,4020,1
10092,31474,3
10093,2031,1
10094,5670,5
10095,7284,4
10096,32081,3
10097,31452,1
10098,36707,2
10099,36421,1
10100,13641,1
10101,10959,1
10102,27818,1
10103,19255,1
10104,26099,1
10105,36763,1
10106,17369,3
10107,10750,1
10108,36944,4
10109,374,2
10110,16619,1
10111,29764,3
10112,3207,3
10113,1548,1
10114,32028,1
10115,26469,1
10116,34046,1
10117,36388,1
10118,10097,1
10119,698,2
10120,15332,3
10121,5714,1
10122,33845,3
10123,10820,1
10124,9253,4
10125,28198,1
10126,10419,2
10127,2677,1
10128,8618,1
10129,9856,4
10130,22835,1
10131,17783,1
10132,30617,3
10133,28179,1
10134,24842,1
10135,13206,1
10136,22749,4
10137,3790,2
10138,28925,2
10139,24683,1
10140,7822,3
10141,34151,1
10142,18951,1
10143,27735,1
10144,805,1
10145,9902,1
10146,24927,3
10147,33674,1
10148,35648,2
10149,26545,3
10150,3207,1
10151,24880,2
10152,35602,4
10153,15294,1
10154,5999,3
10155,15737,1
10156,20022,1
10157,13921,1
10158,22822,1
10159,31702,1
10160,6510,3
10161,17931,1
10162,18381,2
10163,1163,1
10164,23166,1
10165,30615,2
10166,26188,1
10167,8472,2
10168,12893,1
10169,37211,1
10170,12697,1
10171,18139,1
10172,6203,1
10173,36378,1
10174,4302,1
10175,26094,1
10176,7075,1
10177,15008,1
10178,35347,2
10179,23209,4
10180,19348,1
10181,23307,4
10182,26422,1
10183,26778,2
10184,19689,1
10185,7641,2
10186,26659,1
10187,9538,3
10188,27468,1
10189,34834,2
10190,12947,1
10191,36728,1
10192,4076,1
10193,34047,1
10194,21256,2
10195,3806,4
10196,5291,1
10197,29319,1
10198,27324,1
10199,20107,2
10200,22126,1
10201,35091,1
10202,10851,2
10203,12791,1
10204,7638,1
10205,6872,2
10206,14312,1
10207,8229,4
10208,20880,3
10209,10287,1
10210,1015,4
10211,5029,1
10212,27990,2
10213,1746,1
10214,6331,1
10215,3748,1
10216,22978,1
10217,33588,1
10218,34352,1
10219,1387,2
10220,6595,2
10221,14937,1
10222,9958,1
10223,13585,3
10224,24664,3
10225,20518,4
10226,34147,2
10227,30739,3
10228,18441,1
10229,21378,4
10230,1561,1
10231,13107,1
10232,31063,3
10233,14607,1
10234,24801,4
10235,11324,2
10236,16311,1
10237,34959,2
10238,17278,1
10239,27411,2
10240,18221,3
10241,35958,1
10242,30033,3
10243,7946,1
10244,22765,3
10245,18235,1
10246,8403,3
10247,37358,4
10248,2051,3
10249,24427,1
10250,30213,1
10251,13659,2
10252,29762,3
10253,14918,2
10254,32430,3
10255,14678,1
10256,36562,3
10257,27314,1
10258,22086,1
10259,10318,1
10260,15924,1
10261,3191,1
10262,36789,2
10263,11796,4
10264,12750,1
10265,26755,2
10266,18487,2
10267,9100,1
10268,11608,1
10269,24050,1
10270,14811,1
10271,9351,1
10272,24829,1
10273,9974,1
10274,10570,1
10275,21637,1
10276,34141,1
10277,11484,1
10278,6495,2
10279,14101,4
10280,5302,1
10281,22661,1
10282,6617,3
10283,18337,2
10284,13482,2
10285,36471,1
10286,23993,1
10287,14703,1
10288,4557,3
10289,14192,3
10290,17516,1
10291,6907,3
10292,10064,2
10293,34577,1
10294,17556,4
10295,27978,1
10296,20906,1
10297,9168,1
10298,13689,2
10299,37262,2
10300,28335,1
10301,21128,1
10302,12784,1
10303,24484,2
10304,20265,3
10305,9974,1
10306,32016,3
10307,24490,2
10308,20310,1
10309,7624,1
10310,7537,3
10311,10504,3
10312,24271,2
10313,3054,3
10314,18863,2
10315,27276,1
10316,5753,2
10317,36129,1
10318,12601,1
10319,24173,1
10320,8641,1
10321,21493,2
10322,0,1
10323,9279,4
10324,4175,3
10325,29268,2
10326,1413,3
10327,19495,2
10328,36206,1
10329,26546,3
10330,30461,1
10331,17196,1
10332,21687,1
10333,30404,3
10334,33867,3
10335,15193,1
10336,3292,2
10337,17896,2
10338,27619,1
10339,36175,1
10340,31219,3
10341,0,1
10342,37104,2
10343,1978,3
10344,34711,1
10345,19946,1
10346,19600,2
10347,16129,1
10348,7239,1
10349,4642,1
10350,5033,1
10351,19808,1
10352,20619,1
10353,24465,1
10354,33495,1
10355,35071,3
10356,14966,2
10357,7328,3
10358,10271,1
10359,22207,3
10360,9781,1
10361,36512,2
10362,36757,1
10363,26560,1
10364,36284,2
10365,20493,1
10366,35180,1
10367,5641,3
10368,14830,2
10369,10083,1
10370,5660,1
10371,9207,1
10372,8120,4
10373,11409,1
10374,25156,2
10375,29372,1
10376,16447,1
10377,24075,2
10378,27681,1
10379,3894,1
10380,495,4
10381,19212,2
10382,24676,1
10383,2448,4
10384,10929,1
10385,15963,1
10386,36284,1
10387,22564,2
10388,36592,3
10389,4919,4
10390,1782,3
10391,11734,1
10392,17993,1
10393,2784,3
10394,22497,1
10395,33088,3
10396,31993,3
10397,3533,1
10398,11942,1
10399,36214,3
10400,16240,1
10401,10172,2
10402,15351,1
10403,20659,1
10404,29937,4
10405,24423,1
10406,28941,1
10407,9725,3
10408,31366,4
10409,37260,3
10410,5873,1
10411,11949,3
10412,3660,1
10413,16061,2
10414,31059,3
10415,14205,3
10416,9073,1
10417,34694,1
10418,24999,3
10419,35273,3
10420,22802,5
10421,13781,2
10422,23025,3
10423,0,1
10424,4761,3
10425,4114,4
10426,11825,1
10427,21663,3
10428,2656,1
10429,5415,1
10430,11385,2
10431,6978,1
10432,8868,1
10433,18418,1
10434,5312,1
10435,33814,1
10436,15471,2
10437,19785,4
10438,19441,1
10439,33564,1
10440,3129,1
10441,10687,1
10442,28598,2
10443,21745,1
10444,2546,4
10445,18511,1
10446,12396,1
10447,3481,1
10448,12816,2
10449,5472,1
10450,16683,2
10451,35041,1
10452,17580,3
10453,10658,1
10454,36660,1
10455,6646,1
10456,2305,2
10457,9068,1
10458,33498,3
10459,17553,1
10460,1774,2
10461,16546,1
10462,35481,1
10463,13134,1
10464,12290,2
10465,27055,4
10466,1019,4
10467,7077,1
10468,19294,1
10469,34470,3
10470,19835,3
10471,9159,1
10472,25446,1
10473,2888,1
10474,6554,1
10475,5784,4
10476,11463,4
10477,12920,4
10478,3302,5
10479,22069,4
10480,3821,1
10481,21535,1
10482,4841,2
10483,34403,2
10484,31411,3
10485,12153,2
10486,19194,3
10487,19860,1
10488,24384,2
10489,33837,1
10490,25154,1
10491,17328,2
10492,2674,1
10493,20214,1
10494,37206,1
10495,4299,1
10496,18922,2
10497,33902,3
10498,19415,3
10499,31641,1
10500,4220,1
10501,9680,1
10502,28960,1
10503,34935,2
10504,32651,2
10505,22146,1
10506,25386,1
10507,27388,1
10508,18839,3
10509,33619,1
10510,1561,3
10511,23551,1
10512,21135,1
10513,380,1
10514,29941,2
10515,14977,1
10516,20700,1
10517,1095,1
10518,8676,1
10519,13335,1
10520,16209,1
10521,27001,1
10522,11931,2
10523,27126,1
10524,18214,2
10525,33582,1
10526,5947,2
10527,34504,1
10528,22003,1
10529,3147,1
10530,23507,2
10531,3655,1
10532,17218,1
10533,24138,2
10534,12508,1
10535,28816,1
10536,17167,4
10537,10983,1
10538,10374,1
10539,24239,2
10540,8596,3
10541,37085,1
10542,1126,2
10543,14600,1
10544,25643,3
10545,29096,3
10546,18294,1
10547,17169,2
10548,27174,1
10549,14035,1
10550,12191,1
10551,11993,4
10552,10748,1
10553,23815,4
10554,2181,1
10555,900,2
10556,4640,2
10557,15001,1
10558,243,1
10559,7421,1
10560,14470,4
10561,1117,1
10562,16981,1
10563,25935,2
10564,31382,6
10565,36015,1
10566,1499,1
10567,5589,1
10568,31999,3
10569,17774,1
10570,82,1
10571,22264,1
10572,9332,1
10573,8690,2
10574,4062,4
10575,34136,4
10576,27540,1
10577,19431,2
10578,36388,1
10579,6909,3
10580,33087,6
10581,16290,1
10582,10785,4
10583,22811,3
10584,160,1
10585,5420,4
10586,36615,2
10587,8088,4
10588,14872,1
10589,7222,3
10590,26873,1
10591,36004,1
10592,22457,1
10593,12456,1
10594,24839,1
10595,14549,1
10596,9434,1
10597,36242,2
10598,14796,3
10599,3859,1
10600,10461,1
10601,15870,1
10602,4159,1
10603,35426,1
10604,8914,4
10605,35197,4
10606,2603,1
10607,10023,2
10608,26144,4
10609,5069,1
10610,647,1
10611,7303,1
10612,4159,1
10613,21925,2
10614,28572,1
10615,19985,1
10616,4294,2
10617,168,1
10618,26734,4
10619,3292,1
10620,25323,4
10621,10377,1
10622,909,1
10623,18298,2
10624,35193,1
10625,4543,1
10626,15061,4
10627,16100,1
10628,811,1
10629,34268,1
10630,29572,3
10631,7955,1
10632,33471,1
10633,1808,1
10634,19449,2
10635,5414,2
10636,2370,1
10637,35637,1
10638,5317,1
10639,22216,1
10640,34526,4
10641,34239,4
10642,6706,1
10643,33520,2
10644,9549,1
10645,36049,1
10646,34228,1
10647,34499,3
10648,21188,1
10649,21181,2
10650,22712,1
10651,22681,1
10652,10633,3
10653,4061,1
10654,10053,2
10655,27818,1
10656,10814,1
10657,36128,1
10658,29379,1
10659,20993,1
10660,22898,1
10661,5330,1
10662,8518,1
10663,12565,2
10664,16810,1
10665,24635,3
10666,9231,3
10667,2848,4
10668,15330,1
10669,4245,2
10670,523,1
10671,25559,1
10672,2184,4
10673,30563,1
10674,9002,1
10675,20383,4
10676,30817,1
10677,6440,1
10678,4063,2
10679,4715,3
10680,26570,2
10681,13405,3
10682,21311,1
10683,27653,1
10684,20448,1
10685,9933,1
10686,17859,1
10687,25462,1
10688,17913,1
10689,11984,1
10690,5032,1
10691,12865,1
10692,9631,2
10693,33201,1
10694,35515,3
10695,37388,1
10696,29493,4
10697,27177,1
10698,14171,4
10699,1047,4
10700,24362,2
10701,27981,1
10702,8254,1
10703,578,1
10704,24450,3
10705,1524,2
10706,13058,3
10707,18425,1
10708,10916,1
10709,16964,3
10710,32910,4
10711,1877,2
10712,82,1
10713,16598,1
10714,863,1
10715,37126,5
10716,33928,2
10717,37092,1
10718,19938,1
10719,36691,4
10720,6180,4
10721,28439,2
10722,5121,1
10723,36691,3
10724,22087,1
10725,17186,1
10726,33753,1
10727,1413,1
10728,17933,4
10729,3612,1
10730,36099,3
10731,2318,1
10732,35244,2
10733,8309,1
10734,34740,1
10735,7705,1
10736,23053,1
10737,29038,1
10738,1234,4
10739,12258,2
10740,2441,3
10741,2803,4
10742,33240,3
10743,28053,1
10744,36223,2
10745,1135,2
10746,6172,1
10747,36181,2
10748,32479,3
10749,857,1
10750,3180,4
10751,30322,3
10752,20234,1
10753,35394,2
10754,14355,2
10755,5404,1
10756,24748,3
10757,19363,4
10758,9780,1
10759,33859,1
10760,33632,3
10761,4968,2
10762,11778,3
10763,3320,1
10764,5474,3
10765,33679,3
10766,814,1
10767,29450,2
10768,4397,3
10769,23322,2
10770,35410,1
10771,12750,1
10772,16811,1
10773,1705,3
10774,12964,1
10775,31158,3
10776,22597,2
10777,33657,1
10778,26757,3
10779,31436,1
10780,3592,3
10781,30121,2
10782,7898,1
10783,10323,1
10784,35688,2
10785,19273,1
10786,14931,1
10787,23570,1
10788,26864,2
10789,34142,2
10790,29733,2
10791,12050,1
10792,21899,1
10793,34995,1
10794,12325,1
10795,22483,2
10796,35293,2
10797,35094,1
10798,35293,1
10799,18825,1
10800,27381,1
10801,28405,3
10802,26336,1
10803,14663,2
10804,8459,1
10805,6375,2
10806,15279,1
10807,19147,1
10808,14573,2
10809,35026,1
10810,18802,1
10811,17783,2
10812,32090,3
10813,17727,1
10814,8612,3
10815,13318,1
10816,18870,1
10817,25553,1
10818,4628,3
10819,16461,3
10820,14956,1
10821,1419,1
10822,26928,1
10823,35959,3
10824,20410,2
10825,1231,2
10826,13347,1
10827,20212,2
10828,33611,3
10829,14964,4
10830,3443,3
10831,7481,1
10832,7799,4
10833,20693,4
10834,17969,4
10835,22027,2
10836,11257,2
10837,34796,1
10838,5417,1
10839,27845,3
10840,19876,1
10841,10038,2
10842,15880,2
10843,22402,1
10844,4554,4
10845,25672,1
10846,33171,6
10847,4851,3
10848,29628,1
10849,30389,3
10850,19237,2
10851,11016,1
10852,9346,1
10853,2054,1
10854,21494,1
10855,6657,1
10856,20876,1
10857,11777,3
10858,26236,1
10859,34410,3
10860,24724,2
10861,10064,1
10862,18652,1
10863,18961,1
10864,3135,2
10865,12738,3
10866,8883,1
10867,22009,1
10868,7929,1
10869,19417,3
10870,6421,3
10871,37222,2
10872,2662,1
10873,4338,1
10874,30218,1
10875,11617,1
10876,12126,3
10877,18725,1
10878,27467,1
10879,6532,1
10880,24832,1
10881,23828,4
10882,14455,1
10883,14899,1
10884,5823,2
10885,4059,1
10886,37231,1
10887,22997,1
10888,16325,1
10889,11867,1
10890,10881,1
10891,34071,1
10892,37269,2
10893,6060,1
10894,19451,2
10895,19754,1
10896,33510,1
10897,20267,2
10898,977,1
10899,23281,1
10900,1435,1
10901,1460,3
10902,33928,1
10903,18178,1
10904,10723,2
10905,20489,2
10906,9435,2
10907,1812,1
10908,36768,1
10909,13827,1
10910,13025,1
10911,10120,1
10912,4564,1
10913,15935,1
10914,17581,1
10915,4960,1
10916,19427,3
10917,29749,1
10918,28136,4
10919,33655,2
10920,6709,2
10921,13484,1
10922,26783,1
10923,17645,2
10924,3188,3
10925,17983,2
10926,886,1
10927,4210,3
10928,19850,1
10929,20113,1
10930,23068,3
10931,1287,1
10932,32060,3
10933,4603,1
10934,15211,1
10935,15948,3
10936,22096,2
10937,861,4
10938,5980,1
10939,12484,3
10940,7696,1
10941,10707,2
10942,6808,4
10943,34665,1
10944,21568,1
10945,2197,1
10946,34920,3
10947,1454,3
10948,14589,3
10949,3708,1
10950,17501,1
10951,14164,1
10952,5894,1
10953,5030,3
10954,34580,2
10955,29488,3
10956,5015,3
10957,23778,4
10958,12556,1
10959,8911,1
10960,2764,1
10961,3633,1
10962,8028,1
10963,6158,1
10964,8934,2
10965,21731,2
10966,34972,1
10967,7279,2
10968,14408,2
10969,36239,3
10970,9465,4
10971,36007,4
10972,12786,1
10973,2044,3
10974,14151,1
10975,1155,1
10976,34326,3
10977,35446,2
10978,34105,1
10979,21654,2
10980,13028,1
10981,0,1
10982,13485,1
10983,9977,4
10984,16857,2
10985,14029,2
10986,13682,4
10987,13125,1
10988,8108,1
10989,33693,4
10990,33610,1
10991,11319,4
10992,36675,2
10993,25941,3
10994,28590,3
10995,35329,1
10996,28212,1
10997,7043,3
10998,35160,2
10999,7827,1
11000,1849,1
11001,35527,2
11002,19539,1
11003,5098,1
11004,35247,1
11005,17433,1
11006,1671,4
11007,12438,1
11008,16594,2
11009,10824,1
11010,14288,5
11011,17581,1
11012,4319,2
11013,933,1
11014,10268,3
11015,15163,1
11016,25082,1
11017,18212,3
11018,22588,1
11019,9112,1
11020,29390,3
11021,2413,3
11022,22181,1
11023,20213,1
11024,5617,1
11025,1008,5
11026,19182,1
11027,34558,1
11028,14288,5
11029,4660,1
11030,210,4
11031,21469,2
11032,19207,1
11033,20094,2
11034,8580,1
11035,25335,1
11036,20407,2
11037,5922,1
11038,21782,2
11039,36055,1
11040,5365,1
11041,4653,1
11042,22098,1
11043,5679,1
11044,21133,2
11045,6263,1
11046,3853,1
11047,19914,4
11048,16337,1
11049,35289,1
11050,15939,1
11051,19200,4
11052,33714,2
11053,20844,1
11054,8276,1
11055,19860,1
11056,25771,3
11057,23809,3
11058,11069,3
11059,5674,1
11060,8245,1
11061,27230,1
11062,32359,1
11063,9466,1
11064,18962,2
11065,1287,1
11066,6019,4
11067,20149,1
11068,18297,4
11069,33602,2
11070,17139,1
11071,7813,3
11072,19966,4
11073,33909,1
11074,30311,1
11075,36647,2
11076,2710,2
11077,20102,1
11078,27354,3
11079,22747,2
11080,18433,1
11081,23805,1
11082,8542,1
11083,2836,4
11084,34067,1
11085,391,3
11086,1766,4
11087,20495,1
11088,15807,1
11089,8981,2
11090,20890,1
11091,6391,3
11092,36115,2
11093,2712,3
11094,18869,1
11095,1790,1
11096,25734,4
11097,2555,1
11098,33930,1
11099,9578,1
11100,29965,1
11101,7653,1
11102,28013,1
11103,10349,2
11104,35273,1
11105,17545,1
11106,14126,1
11107,34711,2
11108,13831,3
11109,8030,1
11110,21693,1
11111,30766,1
11112,29390,3
11113,15444,1
11114,33556,1
11115,26896,1
11116,15862,2
11117,18544,3
11118,6405,1
11119,26622,1
11120,6690,3
11121,35488,1
11122,13092,2
11123,2205,1
11124,36691,2
11125,26157,1
11126,37103,3
11127,14227,2
11128,10701,3
11129,21321,1
11130,9523,3
11131,21879,1
11132,2972,1
11133,22193,1
11134,9487,1
11135,19871,1
11136,10723,3
11137,4555,1
11138,22447,3
11139,26690,1
11140,8230,1
11141,9347,1
11142,6739,1
11143,29390,3
11144,22152,1
11145,23554,1
11146,6937,1
11147,34741,4
11148,26385,1
11149,27890,1
11150,36214,1
11151,24194,1
11152,8032,1
11153,13229,1
11154,29607,2
11155,6333,4
11156,5314,4
11157,18783,3
11158,33569,1
11159,15737,2
11160,6459,3
11161,2534,4
11162,33124,1
11163,7470,1
11164,3946,3
11165,34466,2
11166,1458,1
11167,1587,1
11168,19329,1
11169,10515,1
11170,863,4
11171,30570,2
11172,19767,1
11173,31624,1
11174,1701,1
11175,22863,2
11176,17542,1
11177,34958,2
11178,35849,1
11179,36711,1
11180,21519,1
11181,23977,1
11182,7922,1
11183,2342,1
11184,18431,4
11185,2192,1
11186,16948,1
11187,21800,1
11188,20624,2
11189,22735,1
11190,715,1
11191,22776,4
11192,19799,1
11193,10380,1
11194,16604,3
11195,18995,1
11196,4453,1
11197,36051,3
11198,2938,3
11199,19148,1
11200,29601,1
11201,10555,1
11202,36267,1
11203,4648,1
11204,13197,2
11205,486,4
11206,14591,2
11207,18847,1
11208,3117,3
11209,12512,1
11210,11300,2
11211,10790,2
11212,34507,2
11213,367,1
11214,2770,1
11215,30207,2
11216,12062,1
11217,5259,1
11218,7034,1
11219,35643,2
11220,2208,2
11221,12328,1
11222,18548,1
11223,36119,3
11224,27529,1
11225,2792,1
11226,14556,1
11227,34456,3
11228,15514,1
11229,34781,1
11230,10718,1
11231,27856,1
11232,6271,3
11233,25692,1
11234,25350,1
11235,21870,3
11236,11436,1
11237,29643,1
11238,35082,3
11239,33743,1
11240,34783,3
11241,1238,1
11242,14875,1
11243,3350,1
11244,2384,1
11245,35704,1
11246,4936,1
11247,31322,3
11248,18501,2
11249,12796,1
11250,17153,1
11251,8482,4
11252,16659,1
11253,5651,1
11254,25384,4
11255,27242,1
11256,12874,1
11257,8599,1
11258,29085,2
11259,23830,1
11260,4952,1
11261,7382,3
11262,18879,1
11263,9268,1
11264,24012,1
11265,3769,1
11266,24297,2
11267,7739,1
11268,22914,1
11269,21108,2
11270,0,2
11271,20659,1
11272,34055,1
11273,5992,1
11274,18806,1
11275,23804,1
11276,12661,1
11277,17419,4
11278,24253,1
11279,1333,2
11280,23962,1
11281,33152,1
11282,30099,2
11283,4249,2
11284,4962,3
11285,14057,1
11286,36492,2
11287,2959,1
11288,209,1
11289,28659,1
11290,5877,1
11291,17790,1
11292,2689,1
11293,8734,1
11294,19816,1
11295,4713,2
11296,21012,1
11297,35757,4
11298,21369,2
11299,22146,1
11300,3732,2
11301,5828,1
11302,35766,3
11303,12784,1
11304,35216,1
11305,10366,2
11306,524,3
11307,18468,1
11308,36176,3
11309,36636,1
11310,16278,1
11311,27843,4
